Rank,RollNo,InstituteCode,CourseCode
711,1074070,109,4111
712,4002121,102,4125
713,6052166,110,4125
715,4028103,109,4111
716,5007110,107,4110
718,4008255,116,4110
719,1065219,109,4111
720,2031210,116,4110
721,6037046,110,5217
724,7038222,109,4111
725,1029220,102,4125
726,6041098,117,4124
727,7023236,102,4125
728,4026085,116,4110
729,2051095,109,4111
730,2005124,116,4110
732,7006109,116,4110
733,2003109,116,4110
734,6035191,107,4110
735,6005010,110,5217
737,1068144,116,4110
738,2039144,109,4203
739,6006061,102,4125
740,1031135,102,4117
741,1084280,102,4125
742,2052174,116,4110
743,6040168,109,4111
744,2038325,107,4110
745,1073242,109,4111
746,6101098,110,4125
747,1001151,102,4125
749,6098036,110,4125
750,2005471,116,4110
751,1064077,109,4111
752,1021150,102,4125
753,6094020,110,5217
754,2025230,109,4111
755,1032151,102,4117
756,2050260,109,4111
757,6051020,102,4117
760,1071188,116,4110
761,1068101,104,4125
764,1066216,109,4111
765,6047129,116,4110
766,6050030,107,4110
767,6047051,104,4109
768,6036051,107,4110
769,2050332,116,4110
770,1059191,116,4110
771,7018166,104,4125
772,1067149,116,4110
773,6034163,109,4111
774,6048133,110,4125
775,1005059,107,4110
776,2019253,104,4112
777,1044138,102,4125
778,7030121,116,5216
779,1047003,109,4111
781,6104055,110,5217
782,4005182,116,5216
783,5055224,106,4115
784,4021417,107,4110
785,1062107,109,4111
786,3021072,104,4112
787,2007241,107,4110
788,6021196,106,4115
790,6014134,106,4115
791,6038101,106,4115
793,4032075,109,4111
796,6025077,106,4115
797,4029106,109,4111
798,6072121,109,4111
799,6050226,106,4115
800,1003085,104,4125
801,1063124,106,4115
802,1055156,116,5216
803,7041059,116,5216
803,2042194,102,5235
805,4042119,109,4203
806,1085092,104,4112
807,6104057,102,4117
810,2024200,106,4115
811,6022179,106,4115
812,2021067,110,4125
813,7033071,106,4115
814,1064113,104,4112
815,2037134,104,4125
816,6007047,106,4115
818,5026147,106,4115
819,1067281,102,5235
820,2029060,107,4110
821,2030277,116,5216
823,1062079,102,4107
825,1059279,104,4125
826,2051149,104,4125
829,7026166,104,4125
830,1070194,104,4125
831,1038117,104,4125
832,6098111,107,4110
834,4031170,109,4203
835,6036194,117,4124
836,5014177,102,4107
837,6105022,116,5216
838,1053168,102,4101
839,2041169,109,4203
840,1069083,102,5235
841,3025144,109,4125
842,1025153,102,5235
843,1061186,104,4112
844,6014162,106,4115
846,1084171,106,4115
847,5004120,102,5235
848,6049233,106,4115
849,2002114,117,4124
850,7011069,104,4112
851,4007088,107,4110
852,5028139,102,5235
853,7029111,104,4125
854,2038166,104,4125
855,1005130,104,4125
856,1043230,102,5235
858,2048284,104,4112
859,1006078,109,4203
860,1059012,104,4112
861,1026093,102,4107
864,6027114,110,4125
866,4016090,102,4117
867,2003101,104,4125
868,6024079,116,5216
869,1049125,102,5235
870,6100002,110,4125
871,4004150,109,4125
872,4039295,109,4203
873,1063101,106,4111
874,1041168,106,4125
875,4016082,104,4112
876,6030129,106,4115
877,6031040,106,4115
879,6037155,107,4110
880,1072070,116,5216
881,5012137,109,4203
882,6021131,106,4115
883,1013137,102,4107
884,1064109,102,4117
885,2007090,106,4115
886,1069107,102,4107
887,6014163,106,4115
888,6100062,110,4125
889,2009176,109,4203
890,1070119,106,4115
891,2041295,104,4112
892,2037147,102,5235
893,6029097,106,4111
894,1014219,104,4112
895,4018201,104,4125
896,2040257,109,4203
897,1088176,102,4109
898,2031157,115,4110
899,1049123,110,5217
900,1001097,102,5235
901,1031097,102,5235
902,1071069,117,4124
904,2012093,104,4125
905,5012062,104,4125
906,2020104,104,4125
907,4010188,104,4125
908,2018106,109,4203
910,4011259,109,4125
911,2009114,104,4112
912,4020176,109,4125
914,6036216,106,4111
915,5004101,106,5225
916,6091019,110,5217
917,4037164,109,4125
919,2021180,109,4203
921,2004324,104,4112
922,1062105,106,4111
923,1029125,102,4101
924,5048074,106,4111
928,6097160,110,4125
929,2025298,104,4112
930,1031114,102,4109
932,7027207,109,4125
933,4001116,105,4110
934,4014140,106,4111
935,5032095,106,4111
936,4001094,109,4204
937,1005229,102,4107
939,2055166,109,4125
940,5059199,106,4125
941,6049048,106,5225
942,5012093,102,4107
943,2009089,109,4203
944,1043131,102,4107
945,5060270,106,4111
946,1087128,104,4112
947,1040227,106,5225
948,2040277,113,4114
949,2015117,109,4203
950,5042227,110,4125
951,2051096,113,4114
952,1067098,102,4107
953,1043321,102,4107
954,2042100,110,5217
955,1057199,117,4124
956,2026108,109,4203
957,1062232,106,4111
958,1043168,110,5217
959,1072238,117,4124
960,1064261,110,4125
961,5030137,109,4203
962,2042093,106,4111
963,7002096,113,4114
964,1074136,109,4203
965,2042233,109,4203
969,6026128,106,4111
972,2041094,104,4112
975,6006027,117,4124
976,6063147,109,4203
977,6097024,110,4125
978,7015043,113,4114
979,1066268,104,4112
980,7033064,104,4107
981,7009153,117,4124
982,2040256,117,4124
984,6028239,110,4125
985,2022151,102,4101
986,1073131,117,4124
988,2026251,104,4112
989,7006104,106,5225
991,2002148,109,4125
992,2037296,117,4124
993,6081118,105,4110
994,1067269,104,4112
995,6012086,110,4125
996,1014360,102,4117
997,2034167,109,4125
998,2029073,109,4125
999,1058193,104,4112
1000,1048169,105,4110
1001,1039164,106,4125
1002,7003279,102,4107
1003,1054104,110,4125
1004,6041128,110,5217
