Rank,RollNo,InstituteCode,BranchCode
733,4035003,106,5216
734,2069082,102,4125
735,5033092,109,4111
736,2016061,104,4112
738,4042225,109,4203
739,1009119,109,4203
740,6031104,107,4110
741,2035109,116,4110
742,1032162,102,4206
744,6082158,102,4125
745,6089054,110,4111
746,6107173,109,4111
747,2051116,102,4125
748,2090251,116,4110
749,1067289,109,4203
750,2035154,102,4125
751,2016075,104,4112
752,2058196,109,4111
754,6020178,106,4115
755,6006086,102,4125
756,4048128,116,4110
757,1083195,102,4125
758,6039138,106,4115
760,4041108,116,4110
761,4024033,116,4110
764,5059319,109,4111
765,2064095,109,4203
766,6097024,110,4111
767,6075093,110,5217
768,6117162,107,4110
769,6038130,107,4110
771,5050121,109,4111
773,3021087,109,4111
774,2024081,104,4112
777,6030233,107,4110
779,2011130,109,4203
780,4012118,102,4202
783,2066182,102,4125
784,6127116,104,4125
785,2086350,109,4111
786,6103123,116,4110
787,1059161,102,4117
787,6082100,110,4125
790,4035110,116,4110
791,1003205,116,4110
792,2047075,104,4109
793,6034123,116,4110
794,6007034,110,5217
795,4015079,109,4111
796,2008175,106,4115
797,6117171,102,4125
798,6026226,102,4125
799,2086083,116,4110
800,4043125,109,4203
801,2061193,109,4111
802,1087052,102,4125
803,4043175,109,4111
805,2069004,113,4110
806,1006131,105,4110
807,2003143,106,4115
808,1061077,102,4117
809,2067100,102,4125
811,1061153,106,4115
812,1086020,102,5221
813,6035123,105,4110
815,4015104,116,4110
816,2013193,104,4125
817,6104128,105,4110
818,4019200,109,4203
819,6043064,110,5217
821,5035215,102,4117
822,2074252,102,4125
823,7013348,106,5506
825,6039137,110,4125
826,1037108,110,5217
827,6101201,110,5217
828,6117235,106,4115
829,1054060,102,4202
830,2061009,104,4124
831,1093051,102,4117
832,2023173,106,4115
833,5048100,117,4124
834,7040173,106,4115
835,6072151,110,5217
836,2054279,102,4125
837,1059138,102,4125
838,7022092,104,4125
839,6129154,106,4115
840,7020022,106,4115
841,6124101,102,4125
842,2055082,102,4125
843,7043102,104,4112
844,2052076,102,4125
845,1059070,102,4125
846,6098074,106,4115
847,6034115,110,5217
848,1059456,102,4125
849,7045364,104,4125
851,1042224,110,5217
852,2008322,104,4112
853,6099136,106,4115
854,6030097,107,4124
855,2029119,104,4112
856,7037131,104,4112
857,1031153,102,4206
858,4009242,116,4110
859,1068075,106,4115
860,3040051,117,4124
861,5003308,106,4115
862,2005241,116,4110
863,4016028,113,4110
864,4002129,102,4117
865,2088105,106,5225
869,2021057,109,4203
872,4066011,104,4111
873,6128234,110,5217
874,2062118,109,4203
875,6078095,104,4125
876,2005100,104,4112
877,2003006,104,4111
878,6099208,104,4112
879,2050054,116,4110
880,3002142,117,4124
881,2008082,104,4125
884,1006207,104,4112
885,2019124,116,4110
886,5067132,106,4111
887,2074187,102,4107
888,1052065,102,5235
889,7016229,104,4125
890,5060085,102,4117
892,6034219,110,4125
892,2076136,104,4112
894,1017260,104,4125
895,2008192,104,4112
896,2005125,117,4124
897,2059274,117,4124
898,1062180,102,4107
900,6092022,102,4117
901,6071107,110,5217
902,2008180,104,4112
903,4006111,116,4110
904,1006090,116,4110
906,6107206,102,4117
907,7037196,104,4112
908,2077126,116,4110
909,2061311,109,4125
912,4067044,105,4110
915,2001103,113,4114
916,6035125,106,4111
917,1021055,104,4125
918,4006127,106,4111
920,6114084,104,4125
921,2059046,117,4124
922,4014090,116,5216
923,2007464,116,5216
924,1035074,102,4117
925,6126120,113,4114
926,6094013,106,5216
927,2021110,104,4112
928,6111087,117,4124
929,3004151,117,4124
930,6032190,106,4121
931,6113137,116,5216
932,1020200,106,4111
933,1089144,106,4111
934,1036181,110,5217
935,7004165,104,4125
936,2049139,104,4125
937,4061077,106,4111
938,6015063,104,4125
939,7023102,116,5216
940,5010179,106,5225
942,7038080,109,4125
943,5029046,104,4125
944,5014139,104,4125
945,7013297,106,4111
946,2048052,106,5225
950,5063238,106,4111
