RANK,ROLL No,Inst Code,Branch Code
482,7021084,117,4110
483,5004266,110,4111
484,7022163,109,4111
485,2081446,102,4125
486,6068144,107,4185
487,7042045,109,4111
488,2077135,117,4110
489,1025225,117,4110
490,6147177,117,4110
491,1002080,109,4203
492,6125243,110,4111
493,1056156,102,5217
494,4005102,104,4110
495,2004107,117,4110
496,1026160,110,4111
497,1017216,102,5217
498,7019210,104,4125
499,6114215,104,4110
500,2069113,110,4111
501,2043373,117,4110
502,2038286,117,4110
503,2033202,117,4110
504,6051130,117,4110
505,6128147,110,4111
506,6025264,110,4111
507,2035081,117,4110
508,2085137,117,4110
509,7018228,116,4110
510,4014291,117,4110
511,2006346,104,4110
512,7008054,117,4110
513,5021053,104,4124
514,7004130,102,5217
515,5004265,110,4110
516,5028219,102,4117
517,2074054,102,4110
518,1081163,102,4125
519,2055010,104,5216
520,5054003,106,4110
521,5028169,109,4111
522,4010106,104,4124
523,7001011,104,4110
524,6140233,110,4111
525,3034189,104,4110
526,6100199,107,4110
527,6104078,110,4110
528,2063184,117,4110
529,6142156,107,4110
530,2057149,117,4110
531,2011327,102,5217
532,2032073,104,4110
533,7001129,102,5217
534,6127145,107,4110
535,2088014,109,4110
536,2041058,102,5217
537,7014326,102,5217
538,1051104,102,5217
539,1086126,110,4111
540,6082112,102,4125
541,6117176,102,5217
542,2043497,117,4110
543,1062170,117,4110
544,5077069,102,4117
545,2087131,109,4110
546,1011033,117,4110
547,2086165,117,4110
548,4015186,102,5217
549,3028158,117,4110
550,5063166,117,4110
551,1053071,102,5217
552,7008389,117,4110
553,7017235,109,4111
554,7023327,102,5217
556,2025068,107,4110
557,4005064,109,4111
558,7017119,117,4110
559,2040096,107,4110
560,2035084,106,4115
561,1055073,117,4110
562,7020185,102,4125
563,2077291,117,4110
564,6048048,110,4110
565,2019116,117,4110
566,2016034,104,4112
567,1060101,117,4110
568,6130112,110,4111
569,6022074,110,4111
570,2012352,104,4110
571,1077237,102,4110
572,6147096,102,5217
573,6061082,110,4111
574,7018309,107,4110
575,2010093,104,4112
576,6050215,107,4110
577,2039080,117,4110
578,7045162,117,4110
579,4009365,104,4110
580,4012284,104,4124
581,5014034,102,4110
582,2087039,109,4110
583,6044241,113,4110
584,7022134,110,4111
585,6148210,107,4185
586,5028153,106,4115
587,6015146,113,4110
588,1082094,117,4110
589,2056274,110,4111
590,2067232,107,4110
591,4006124,102,4125
592,6100264,110,4111
593,2043246,109,4111
594,2004135,116,4110
595,6123167,110,4111
597,6098016,110,4110
598,2055047,116,4110
599,1051106,102,4117
600,6133177,110,4111
601,2011368,104,4112
602,2056175,102,4111
603,2026334,109,4111
604,1078063,102,4125
605,6095173,110,4111
606,4013287,109,4203
607,6120095,110,4111
608,5025163,109,4111
609,2036242,109,4111
610,2052024,109,4111
611,6153176,107,4110
612,4011041,104,4124
613,7017314,107,4110
614,6068162,104,5216
615,1045052,109,4203
616,7021337,107,4110
617,7009188,106,4115
618,6030283,113,4110
619,2077519,106,4115
620,7007050,104,4112
621,7023355,116,4110
622,2034163,117,4124
623,6131173,104,5216
624,2057014,109,4110
625,4065209,102,4111
626,7023356,109,4111
627,2071166,109,4111
628,1077104,102,4125
629,2022156,109,4111
630,2073121,116,4110
631,1006155,110,4111
632,6146196,107,4185
633,2020097,116,4110
634,6122331,110,4110
635,4015281,116,4110
636,2057048,109,4111
637,6120173,110,4111
638,1071075,107,4185
639,1027328,110,4111
640,2061098,105,4110
641,1082079,110,4110
642,1054075,102,4125
643,2081282,116,4110
644,7003184,116,4110
645,2081101,106,4115
646,2004132,104,4112
647,1053216,102,4125
648,1079184,110,4111
649,6142136,110,4111
650,5031202,109,4111
651,7022171,109,4203
652,7038411,109,4111
653,7028149,104,4112
654,6144226,107,4185
655,2075002,109,4110
656,1088084,109,4111
657,1087087,107,4185
658,6104080,104,4110
659,2032243,104,4110
660,5041081,109,4111
661,6019067,107,4124
662,5077121,106,4115
663,1004204,110,4111
664,2014094,104,4112
665,7022237,109,4111
666,6012145,102,4110
667,6120175,107,4110
668,6134103,106,5216
669,1051231,102,4125
670,2087204,116,4110
671,6104081,110,4110
672,2063034,109,4110
673,1022134,110,4111
674,6100230,110,4111
675,4033180,116,4110
676,2064221,104,4112
678,6094163,110,4111
679,4013336,116,4110
680,2053051,109,4111
681,1020048,109,4111
682,4009311,109,4110
683,7021067,109,4111
685,6140194,110,4111
686,2068132,104,4112
687,7044075,109,4111
688,6051209,110,4111
689,4027095,117,4110
690,6125008,110,4110
691,2027231,104,4112
692,2075072,116,4110
693,4011223,102,4125
694,1010125,107,4124
696,4032060,109,4111
697,1027049,102,4111
698,2004267,104,4112
699,6121103,110,4111
700,6012185,110,4110
701,2076159,109,4111
703,1056179,102,4117
704,2038232,109,4203
705,6094188,110,4111
706,7006134,109,4111
707,2008001,104,4124
708,5041155,102,4110
709,6133240,110,4110
710,6128215,110,4110
711,6135152,116,4110
712,2077170,116,4110
713,5039206,109,4111
714,6101108,110,4111
715,4002162,109,4111
716,1022032,102,4111
717,6010051,110,4111
718,2014066,116,4110
720,2033190,116,4110
721,5072109,104,4112
722,6096110,110,4111
723,2005396,116,4110
724,1026178,109,4111
725,7022087,109,4111
726,5018088,104,4112
727,6139105,117,4110
728,4015260,109,4110
729,7005379,104,4112
730,6007124,116,4110
731,4013130,109,4203
732,2011476,116,4110
733,1081254,102,4125
734,7041084,106,4115
735,4005250,117,4110
736,1005356,104,4112
737,1016028,102,4111
738,1003182,110,4110
739,2086398,109,4110
740,5004271,102,4125
741,6103091,110,4125
742,6145195,102,4125
743,5005250,110,4110
744,2060148,102,4125
745,1013088,102,4125
747,6046253,102,4109
748,2009095,109,4203
749,1055102,102,4117
750,3028056,109,4203
752,2051148,104,4111
753,2041229,106,4115
754,7006187,116,4110
755,2002166,116,4110
756,5023181,104,5216
757,7017183,109,4111
759,2011735,104,5254
760,4001104,109,4111
761,2023225,116,4110
762,2088059,102,4125
763,2013228,117,4124
764,6139227,106,4115
765,2010156,116,4110
766,5069089,109,4203
767,4007096,102,4125
768,7007052,104,4112
769,4006335,109,4111
770,2087148,109,4111
771,2039237,104,4112
772,2039241,109,4111
773,4009182,109,4110
774,7017295,109,4111
775,2026002,109,4110
776,4061042,106,4115
777,2071081,102,4117
778,1052098,102,4125
779,1020033,102,4125
780,2071214,116,4110
781,5050053,106,4111
782,6141022,104,5216
783,1003147,106,5506
784,2018213,116,4110
785,5018136,102,4125
786,2032673,117,4124
787,6133210,106,4115
788,1057112,102,4125
789,1014046,102,4111
790,6101109,110,4125
791,1005196,104,4112
792,5011165,110,4110
793,1051247,109,4203
794,6099230,110,4110
795,5024006,104,4111
796,2008103,116,4110
797,3017173,117,4110
798,7021047,104,4112
799,6143122,102,4117
800,2062125,104,4111
801,1023206,102,4125
802,2009078,104,4112
803,5038271,102,4125
804,7020039,109,4111
805,6039032,110,4111
806,1087178,102,4125
807,2033006,102,4110
808,6117113,107,4111
809,2059219,102,4125
810,6082173,106,4115
811,6052229,102,4125
812,4011134,109,4203
813,6043362,106,4110
814,1052274,102,4125
815,2023107,109,4111
816,1088075,109,4111
817,3032004,102,4110
818,6144101,110,4110
819,6120199,109,4110
820,1076131,117,4124
821,5073016,106,4110
822,5037068,109,4110
824,7041088,116,5216
826,2059098,102,4125
827,6009175,106,4110
829,6120225,109,4111
830,2037363,104,4111
831,5048064,106,4110
832,4030112,106,4115
833,2053153,102,4125
834,7028050,109,4111
835,2011657,106,4115
836,1076110,102,4125
837,6152148,106,4115
838,2020118,117,4124
839,6129175,107,4110
840,2037151,109,4203
841,1091149,102,4117
842,2064078,116,5216
843,2011358,106,4115
844,5028252,106,4115
845,2022067,102,4125
846,1080173,102,4125
847,1078020,102,4111
848,6105101,106,4115
849,7002156,116,5216
850,1064174,102,4125
851,1054141,102,4125
852,2004113,113,4114
853,2032671,109,4203
854,2070224,109,4111
855,1021154,105,4110
856,2067148,109,4111
857,6143216,106,4110
858,6081094,110,4111
859,6114171,116,5216
860,6120299,109,4111
861,2016081,116,5216
862,5026052,109,4110
863,5008115,106,4115
864,7015011,104,5216
865,2074144,109,4203
866,1018123,102,4125
867,5069047,106,4110
868,1083157,102,4125
869,6043325,106,4115
870,4015188,105,4110
871,6138181,106,4115
872,2005094,117,4124
873,2019074,116,5216
874,5020013,109,4110
875,4007085,109,4111
876,7006061,102,4125
877,7015219,106,4115
879,2029080,106,4115
880,2044062,109,4111
881,5027183,106,4115
882,5005251,106,4110
883,1054317,102,4125
884,2079235,109,4110
886,1039090,105,4110
887,2077094,105,4110
888,6042227,106,4110
889,2027127,104,4125
890,2057178,109,4111
891,2087104,109,4111
892,2012188,109,4111
893,2028184,109,4111
894,2085113,105,4110
895,1005103,106,4115
896,2006176,106,4115
897,4012299,105,4110
898,6136157,106,5506
899,6114202,106,4110
900,1051119,117,4124
901,2065206,104,4125
902,6120155,102,4117
903,2054011,102,4110
904,1003087,109,4203
905,1022229,109,4111
906,5053048,106,4115
907,1053250,109,4111
908,5076107,102,4117
909,6049214,105,4110
910,2036105,117,4124
911,6151207,104,4111
912,2065110,110,4111
913,4012154,104,4124
915,6099116,106,4115
916,2084456,109,4110
917,1032113,110,4125
918,6053125,109,4111
919,7001027,109,4110
920,2057084,117,4124
922,7018333,104,4125
923,6052276,106,4110
924,2032153,109,4110
925,2059014,106,4110
926,1073128,102,4111
927,2043206,106,5506
928,4016242,109,4111
929,5041201,109,4111
930,6122089,105,4110
931,7037045,109,4111
932,6116201,106,4115
933,6096180,102,4111
934,1029192,102,4125
935,5022160,102,4125
936,5053102,106,5225
937,1055094,102,4117
938,2055163,117,4124
939,1076139,102,4125
940,6139234,105,4110
941,7004147,117,4124
942,6148207,109,4110
943,1056130,102,4125
944,1031300,109,4110
945,7008291,105,4110
946,6124162,104,5216
947,6134167,117,4124
948,1088138,116,4110
949,6050220,102,4125
950,6148109,105,4110
951,1021130,105,4110
952,4017087,102,4125
953,7020055,117,4124
954,1017191,102,4125
955,6148136,105,4110
957,1029112,110,4125
959,5034230,109,4110
960,6034110,106,4110
961,5002251,104,4111
962,6121281,116,5216
963,2061633,109,4110
964,6041223,105,4110
965,6130155,106,4110
966,5013087,102,4125
967,6045192,110,4111
968,3020067,104,5216
969,7018263,116,5216
970,2039074,116,5216
971,2011562,109,4111
972,6149260,117,4124
973,2061055,109,4111
975,1004230,110,4125
976,6023135,102,4125
977,2078069,102,4125
978,6141156,106,4110
979,6045093,106,4111
980,4030007,106,4110
981,6074073,110,4111
982,2026123,113,4114
983,2029130,104,5216
986,1005246,102,4125
