Rank,RollNo,InsituteCode,CourseCode
649,5053234,109,4111
650,7010276,117,4110
651,6092014,110,5217
652,5021079,106,4115
653,6024101,106,4115
654,5021180,116,4110
656,1030157,109,4111
657,4048094,109,4111
658,6114076,102,4125
659,6070190,110,4125
660,1066055,107,4110
661,1064371,116,4110
662,6015265,102,4125
663,5004257,106,4115
664,6072079,110,4125
665,6093147,102,4125
666,6031330,109,4111
667,3013239,106,4115
668,6013091,109,4111
669,6095139,107,4110
670,2047234,117,4110
671,2021272,116,4110
672,7028087,104,4125
673,1070333,109,4111
674,1027147,102,4125
675,7021358,109,4111
677,2028041,109,4111
678,1004118,109,4111
679,7004188,104,4112
680,5052300,109,4111
681,1069273,102,4125
682,2065068,109,4111
683,6067304,110,5217
684,4035161,109,4203
686,1065263,102,4125
687,7003285,109,4203
688,6012206,109,4111
689,1067343,109,4111
690,1066074,106,4115
691,2031060,116,4110
694,7001092,116,4110
695,1069375,104,4125
697,1028414,102,4125
698,1033308,102,4125
699,2006147,109,4111
703,7002080,109,4111
704,1029278,102,4125
705,1065375,102,4125
706,7001043,102,4125
707,6047015,110,5217
708,6048239,102,4125
709,1038228,107,4110
710,1040221,102,4125
711,1067241,102,4125
712,1034067,106,5506
713,4034120,102,4117
714,2033431,104,4112
715,4053364,109,4111
718,6086200,102,4125
719,2001075,104,4125
720,7007190,109,4203
721,6002133,104,4125
722,5026310,102,4125
723,1044008,102,4125
724,7002298,102,4125
725,4004363,116,4110
726,6019335,106,4115
728,5059201,109,4111
730,6029119,102,4117
731,2045023,102,4125
732,6104282,106,4115
733,1029180,102,4125
734,4032145,109,4203
735,3003206,109,4203
736,6095089,110,5217
738,7035326,102,4125
739,4010041,116,4110
740,6047040,110,4125
741,1018209,104,4125
742,2025329,109,4111
743,7001283,109,4111
745,5049008,109,4111
746,1056186,102,5235
747,6095246,107,4110
748,2005347,104,4125
749,6101141,102,4101
750,6071340,110,5217
751,6102078,107,4110
752,1034279,102,5235
754,5041284,102,4117
755,6070333,102,4117
756,2050010,116,4110
760,1064249,104,4125
761,5017073,102,5235
762,1053074,102,4101
763,6051283,102,4117
764,6031225,106,4115
766,5017033,104,4112
768,1068231,109,4203
770,2008256,104,4125
771,2005114,104,4125
773,6096314,110,4117
774,7012018,109,4204
775,1030160,102,5235
776,6097056,106,4115
778,7002218,109,4111
779,2006409,116,4110
781,2059168,104,4125
782,2006071,109,4111
783,4037344,109,4111
784,1040201,107,4110
785,7021292,109,4111
786,1073204,109,4203
789,1039405,107,4110
791,1013183,109,4111
792,1018084,102,5235
793,6023186,116,4110
795,6019320,104,4125
797,1003162,104,4125
798,4022051,109,4111
799,7021257,109,4111
800,2012016,104,4125
801,1064063,109,4111
802,1055122,109,4111
803,5006345,106,4115
804,2067128,116,4110
805,7035185,104,4112
806,4009035,109,4111
807,4009110,116,4110
809,6023308,116,4110
810,1078143,116,4110
812,1034061,109,4111
814,5017228,116,4110
815,7039239,104,4125
816,2043375,109,4111
817,2025245,109,4203
818,6088150,102,5235
821,1021047,107,4110
822,2012027,104,4125
823,7020010,104,4125
824,7004361,106,4115
825,7023196,109,4203
826,1067060,102,5235
827,5030059,106,4115
828,6047222,104,4125
829,5012215,104,4112
830,1029092,102,4107
831,2005087,106,4115
832,2060077,104,4112
833,7007097,113,4114
834,7015084,106,4115
836,6028069,117,4124
837,2059018,109,4203
838,6099130,110,5217
839,7032400,104,4112
842,2002378,104,4125
843,1041033,106,4125
844,6095167,106,4115
845,5017333,110,5217
847,6098047,107,4110
848,2034158,105,4110
849,1069327,104,4112
850,1030238,102,4107
851,1004132,116,4110
853,1052160,106,4115
854,3023285,104,4125
855,1039344,102,5235
859,2029094,109,4203
860,7026064,104,4112
861,6013277,104,4112
862,1010172,106,4115
863,6113132,106,4115
864,5055331,116,4110
865,2001564,109,4203
868,4009111,109,4203
869,1002312,110,5201
870,6050097,106,4115
872,2025223,104,4125
873,3012105,106,4115
874,6014061,106,4115
875,6020026,109,4203
876,1008023,104,4125
877,6032049,110,4125
878,2065143,104,4112
879,1033143,102,5235
880,1068045,116,4110
882,6012256,106,4115
882,1059079,110,5217
884,1031193,102,4107
885,1033236,104,4112
886,2067371,116,4110
887,2006057,109,4203
888,4043117,116,4110
889,2025004,104,4112
890,6002073,106,4115
891,6021178,116,4110
892,2008389,116,4110
893,7021107,102,4107
895,7003436,104,4112
896,4013069,104,4112
897,6068159,110,5217
899,1074222,106,4115
901,2021312,117,4124
902,1056299,110,4125
904,1031294,102,4107
905,6032038,110,5217
906,2002257,104,4125
907,6094235,116,4110
908,2018370,104,4125
909,2031272,102,4117
909,3021325,104,4112
911,6070255,106,5506
912,7003199,102,4117
914,6089313,104,4125
915,6108028,107,4110
916,2040150,116,4110
917,4035064,109,4203
918,6015122,106,4115
919,6100245,106,4111
920,1018215,102,4107
921,4011460,109,4203
922,2067035,104,4112
924,6091112,110,4125
925,1032098,110,4125
928,7028029,104,4112
929,6098031,106,5225
932,2017244,102,4117
932,6033174,110,5217
934,6023358,117,4124
935,1069294,116,4110
936,5029277,104,4125
937,7003114,104,4125
938,6094210,107,4110
939,7003353,102,4117
940,2007063,106,4115
940,2026153,117,4124
942,5030172,106,4111
943,2049078,109,4125
944,2002158,104,4125
945,2027072,117,4124
946,1050137,106,5225
947,1071184,106,4111
948,1067357,109,4125
949,2026335,104,4107
950,2067305,106,5506
952,4037009,109,4125
953,2018103,107,4110
954,2059085,107,4110
955,2067366,117,4124
956,2029061,106,4111
957,4045210,106,4111
958,1068330,109,4125
959,7029084,102,4117
960,2061346,102,4107
962,1033007,107,4110
963,1051182,107,4110
964,4002094,106,5506
966,4034094,117,4124
967,2025376,107,4110
968,1039098,110,4125
970,5041126,106,5225
971,6098005,107,4110
972,1060298,102,4107
973,1050379,102,4107
974,2043285,116,5216
975,3018232,107,4110
976,6013158,110,5217
977,7009142,116,5216
978,6023200,110,5217
979,6101047,110,5217
980,1064293,110,4125
982,1031150,102,4107
983,2040155,106,4111
984,2034342,105,4110
985,2049074,116,5216
985,6023180,117,4124
987,5038228,109,4125
988,2043406,109,4125
989,6013163,110,5217
990,4009012,116,5216
991,6067157,110,4107
992,6031018,110,5217
994,7021163,113,4114
996,1068013,113,4114
997,6092241,105,4110
998,6100052,110,5217
1000,6029194,116,5216
1001,7021109,113,4114
1002,6033054,110,5217
1004,1073063,113,4114
1006,6013175,110,5217
1007,1057375,106,4111
1008,2045009,113,4114
1009,1032197,102,4107
1011,2043276,110,5217
1012,5061180,117,4124
1014,1019181,102,4107
1015,7036080,116,5216
1017,2024061,109,4125
1018,4002040,110,5217
1019,5029141,106,4111
1020,4027100,106,4111
1022,5015005,109,4125
1027,7009033,115,4110
1028,6021188,106,5225
1029,2033373,105,4110
1031,2068084,102,4107
1034,1013228,106,4111
1035,6033038,110,4125
1036,2040256,106,4111
1037,1070091,102,4107
1038,6087338,106,5506
1039,6100279,110,4125
1041,6014076,105,4110
1042,2066267,113,4114
1043,1074365,117,4124
1044,6023378,110,4125
1045,6016108,110,4125
1046,1029143,102,4109
1046,5006348,106,4111
1048,2040171,113,4114
1049,1064048,109,4125
1050,1034068,110,5217
1051,4009298,116,5216
1052,6031159,110,4125
1053,2043017,105,4110
1054,1067142,106,4111
