Rank,RollNo,Institute Code,Branch Code
733,4032192,116,4110
735,6104431,110,4111
736,2077254,116,4110
737,7057052,104,4112
738,4088078,116,4110
739,1019059,102,5217
740,6057022,109,4110
741,6220076,102,4125
743,6187455,105,4110
744,1164036,102,4125
745,7045083,109,4203
746,7084071,116,4110
747,2032102,116,4110
748,1081445,106,4115
749,6134036,102,5217
750,1103038,102,4125
754,6129018,102,4125
755,2024111,104,4124
756,6057482,110,4111
758,2082253,109,4111
759,5090110,106,4115
760,4008028,116,4110
761,2100075,105,4110
762,7091007,102,5217
764,2021054,116,4110
766,7026300,104,4112
767,5047071,102,4125
768,5029040,102,4117
769,1003103,116,4110
770,1160057,102,4125
772,6272069,110,4111
775,1038188,110,4111
776,2054052,116,4110
777,1038022,110,4111
778,1102206,102,4125
779,1132031,102,4111
780,7002029,109,4203
781,5100002,106,4110
782,1081449,110,4111
783,2114316,109,4111
784,2019173,104,4112
785,1157351,105,4110
786,2028040,104,4112
787,1176117,110,4111
788,1141015,109,4110
790,3076089,117,4124
792,7016238,104,4112
793,7032007,104,4112
794,7037220,109,4111
795,6099113,110,4111
796,5013102,110,4111
799,2037052,104,4112
800,2023145,117,4124
801,1101187,110,4111
802,2002291,117,4124
803,4008443,117,4124
804,6017074,116,4110
806,4007075,102,4117
807,6040071,102,4101
808,1176050,109,4110
809,1045167,109,4110
811,1084146,106,4115
812,6174044,110,4111
813,2082285,102,4125
814,1184004,107,4124
815,2114311,109,4203
817,2081440,102,4111
818,6219020,110,4111
819,2063224,102,4202
821,6164157,110,4111
822,2027001,117,4124
823,4114047,116,4110
824,5060013,116,4110
825,4013047,104,4124
826,4044065,116,4110
829,1005039,110,4111
830,1037327,107,4124
831,2084048,102,4125
832,1078007,102,4107
833,6180074,110,4111
834,5043339,117,4124
835,2099006,102,4125
837,2039126,109,4111
838,5072084,116,4110
839,1044119,104,4192
840,6187291,106,4115
843,1101067,102,4125
844,1038112,110,4111
845,4032252,102,4125
846,2047192,109,4111
847,2035108,102,4125
848,6216051,107,4124
849,5066066,106,4115
850,2055146,107,4124
852,4019090,104,4124
853,5066067,106,4115
855,1037363,106,4110
856,2024094,102,4125
857,7037078,109,4203
858,3069029,109,4111
859,5033060,109,4203
860,1140004,109,4111
861,2020150,102,4111
864,1102242,102,4125
865,7006106,116,4110
867,7035046,105,4110
868,1149063,102,4125
869,1038196,106,4115
871,4090084,116,4110
872,7085114,102,4117
873,6081079,105,4110
874,6187010,105,4110
876,6187364,107,4124
877,6223073,105,4110
878,1043104,102,4117
879,4057046,117,4124
880,7004038,102,4125
881,1065009,102,4125
882,5005257,102,4125
883,1104227,102,4125
885,7032341,116,4110
886,6196271,116,5216
890,5086138,106,4110
894,1023086,117,4124
895,6057354,105,4110
896,1102023,102,4125
897,1004443,106,5506
898,4001290,109,4111
899,1004119,102,4101
900,2063053,109,4203
901,4104179,104,4112
902,7080020,116,5216
903,7090088,102,4125
905,4072096,109,4203
906,2020262,104,4112
909,2028228,104,4112
910,6124001,109,4203
913,1014103,117,4124
918,3004355,109,4111
919,1101347,102,4125
922,2081314,104,5216
923,2063078,106,4115
924,2102099,102,4111
925,2117004,107,4124
927,6195064,106,4115
930,1087048,105,4110
931,4015332,104,5216
936,2014008,104,4112
937,1102196,102,4125
939,7069070,109,4111
940,4081055,117,4124
941,2076556,117,4124
942,3009096,117,4124
943,2042040,109,4111
944,5030075,105,4110
945,1046023,117,4124
947,5070052,106,4115
951,7009080,109,4111
952,3014013,104,5254
953,6234104,105,4110
955,6003061,106,4115
956,5050116,117,4124
957,1114030,109,4111
958,7032510,109,4111
960,1052065,117,4124
961,2039152,104,4112
962,7083093,109,4111
964,1043224,110,4125
965,1048052,102,4117
966,1104167,102,4125
967,2054227,105,4110
968,2049070,102,4125
970,2040038,109,4111
971,6031010,110,4125
972,2066356,104,4125
974,1053041,110,4125
976,1037002,109,4111
977,2033036,117,4124
978,4010100,106,5506
979,1102138,102,4125
980,5082067,106,4125
981,1008075,111,4110
982,2020095,104,4125
983,6228013,109,4111
986,4012100,102,4125
987,4023297,102,4125
990,1032040,104,4111
991,6201191,102,4125
992,7032592,109,4111
994,2015104,113,4114
995,4018044,116,5216
996,4010004,106,4115
997,1136212,113,4110
999,7019020,102,4125
1000,2091018,116,5216
1002,1107028,102,4125
1003,1039092,102,4125
1005,6052069,106,4115
1006,2090146,106,4115
1007,4007205,102,4117
1008,7038096,102,4117
1009,7032487,102,4101
1010,2028241,113,4114
1011,7014010,113,4110
1013,6186392,107,4111
1016,2018151,102,4117
1017,1157277,102,4125
1018,2029053,106,5506
1019,2039217,109,4111
1025,4084032,109,4204
1027,1112032,109,4111
1029,1101356,102,4125
1031,2077314,104,4125
1032,6165033,109,4111
1033,4107027,104,4125
1034,2005230,105,4110
1035,2072163,113,4114
1037,2044049,104,5254
1039,1101449,109,4111
1040,1108020,113,4114
1041,2019054,106,4115
1043,2055294,109,4111
1044,6123009,116,5216
1045,6052137,107,4110
1046,1103244,102,4125
1047,6186103,105,4110
1048,2081151,113,4110
1050,2020178,104,4125
1051,6071025,105,4110
1052,6185274,102,4117
1054,2044165,104,4111
1055,2082366,109,4111
1056,6250007,105,4110
1057,6176030,106,4115
1058,1169005,102,4125
1061,7039352,116,5216
1064,2080093,109,4111
1066,2055358,106,4115
1067,1102323,102,4125
1068,4071024,116,5216
1069,1116047,102,4125
1070,5066222,113,4110
1071,3037343,106,4115
1072,5076083,106,4115
1073,6151037,109,4111
1074,5083112,116,5216
1077,6108004,105,4110
1078,6169010,110,4125
1079,2002147,105,4110
1080,7057263,109,4111
1081,1020079,109,4111
1082,6164106,110,4125
1084,6123315,109,4111
1085,2100011,109,4111
1087,1105135,102,4125
1088,6129161,102,4125
1089,1104037,102,4125
1091,2065058,113,4114
1092,7039228,113,4114
1096,7077129,113,4114
1099,2052128,109,4111
1101,5034054,102,4117
1103,2064016,109,4111
1104,2055634,104,4192
1107,5008141,109,4111
1109,1043024,109,4111
1110,5009053,106,4115
1111,2018320,102,4101
1113,1059198,102,4117
1115,1119267,102,4125
1117,1139003,113,4110
1118,5088227,106,5225
1119,1008029,109,4111
1120,7070061,109,4111
1121,2027019,104,4192
1122,6095069,106,4115
1123,4001296,104,4192
1124,7053003,104,4192
1126,4082175,109,4111
1127,3088138,109,4111
1129,1183053,102,4125
1130,6159207,110,4125
1131,1102098,104,4125
1136,6132077,109,4111
1137,6158151,106,4115
1138,6199079,102,4117
1140,2032130,113,4114
1141,2054713,109,4111
1142,4059031,113,4114
1143,1158012,106,5225
1144,1149093,102,4107
1145,1043082,105,4110
1147,1004447,106,5225
1148,2043009,109,4111
1149,5075205,104,4125
1150,2107292,109,4111
1151,6161357,110,4125
1153,7085126,109,4111
1154,6207285,106,5506
1155,4088157,116,5216
1157,7057323,102,4107
1160,7041088,104,4125
1161,2101088,113,4114
1162,1024063,113,4110
1163,2078067,109,4111
1165,2039202,113,4114
1166,5014075,110,4117
1167,7036092,109,4111
1168,7002042,104,4111
1169,2043059,104,4192
1170,4074045,109,4111
1171,1022030,113,4114
1172,1003008,113,4114
1173,6222103,110,4117
1176,2100325,106,5506
1177,7037115,105,4110
1178,2076149,109,4111
1179,7032053,109,4111
1183,6159031,110,4117
1184,6051002,110,4111
1185,1101390,102,4206
1186,4015308,113,4114
1187,5082179,106,4111
1188,2054084,104,4125
1190,7003115,116,5216
1192,6164090,106,5225
1193,5084091,106,4111
1194,6204150,105,4110
1195,1157117,102,5235
1196,5030015,104,4125
1197,7009190,113,4114
1198,7066068,105,4110
1199,6222071,110,4111
1200,1024156,105,4110
1201,7038077,104,4125
1202,7014008,113,4114
1203,6181231,113,4114
1204,6214066,106,5216
1205,6158035,110,4111
1206,7034016,113,4114
1207,2102126,113,4114
1210,2054679,102,4107
1211,2032189,106,5506
1212,1164029,105,4110
1213,1038210,104,4111
1215,6098186,107,4111
1217,1167116,110,4117
1219,1010050,117,4114
1220,6201139,106,5225
1222,1074069,105,4110
1223,2054476,104,4125
1224,3013069,113,4114
1225,7048014,102,4125
1226,5043027,104,4111
1227,6162152,113,4114
1228,6158061,110,4125
1230,6162218,104,4125
1232,1060118,102,4101
1233,1040024,113,4114
1235,1014058,111,4110
1236,5043319,106,5506
1237,2089076,113,4114
1238,7021036,113,4110
1239,6224136,109,4204
1240,6154125,113,4114
1241,6101244,106,4111
1242,5075190,106,4111
1243,2046383,102,4107
1244,2055205,104,4125
1245,7035242,113,4114
1246,3087129,113,4114
1247,6160077,107,4111
1250,2034135,113,4114
1251,2079159,104,4125
1252,6215218,117,4114
1255,5082185,106,4111
1256,1167108,102,5235
1257,5032225,113,4114
1258,1120197,104,4125
1261,1103085,102,4107
1263,2052087,104,5254
1264,6087222,110,4125
1265,2055401,111,4110
1266,7036116,115,4124
1269,1031072,113,4110
1270,6226119,106,5225
1271,2011094,116,5254
1272,6090026,111,4110
1275,6225013,117,4110
1277,5090031,106,4111
1278,7072016,113,4114
1280,1102493,102,5235
1283,6193013,106,5506
1284,6123327,116,5254
1287,1049086,106,5225
1288,2079210,106,5506
1289,2068079,104,4192
1290,6108027,106,5225
1292,1149047,106,5225
1293,1125045,102,4206
1294,1102505,113,4114
1295,6201058,104,4125
1296,2019187,114,4110
1297,1040074,104,4192
1298,1043175,113,4114
1301,2013148,104,4107
1302,4001183,106,4111
1303,2044126,104,4111
1305,5079140,106,5506
1306,1037161,110,4117
1307,7076182,111,4110
1308,6207301,117,4114
1309,6143020,111,4110
1311,7028036,104,4117
1314,6107104,106,5216
1315,2055373,104,4125
1318,1110004,102,4107
1319,6207308,101,4110
1320,1159217,106,5225
1322,5071093,106,5506
1323,2035145,104,4192
1324,4018205,106,5506
1325,6158202,110,4125
1326,2005233,113,4114
1329,2017061,115,4110
1330,4116033,116,5254
1332,5091241,104,4111
1333,4011098,113,4114
1334,6062028,116,5254
1335,7025058,117,4114
1336,6162208,110,4125
1338,2020123,104,4125
1339,2044111,113,4111
1340,7026314,106,5506
1341,4125020,106,5506
1342,2107277,117,4114
1345,1067061,110,4125
1346,4096078,106,5506
1348,4080153,106,4111
1350,2092176,106,5506
1352,5064030,104,4125
1353,7036037,115,4110
