Rank ,RollNo,InstituteCode,CourseCode
447,1013148,102,4125
448,7018037,113,4110
449,4001144,102,4125
450,4002196,102,4125
451,6064051,110,4111
453,1044093,102,4125
454,6075031,110,4111
455,6005125,113,4110
456,1031277,102,5219
458,1045004,113,4110
459,1045408,109,4111
460,4033064,109,4111
461,7008405,104,4125
462,4036258,109,4111
463,7015103,113,4110
464,2049090,104,4125
466,1022183,102,4125
467,2026007,104,4125
468,7001145,102,4125
469,2026225,104,5254
470,7022085,104,5254
471,7014046,102,4125
472,1002209,102,4125
474,3014232,109,4111
476,6034157,117,4110
477,2034216,113,4110
478,5002111,113,4110
479,6063054,110,4111
480,4015114,109,4111
481,2002266,104,5254
482,4015115,113,4110
483,1022058,102,4125
484,6034140,102,4125
485,1015348,102,5219
486,1016138,102,4125
490,1032348,102,4125
491,5016167,113,4110
492,4014024,102,4101
493,2002326,109,4111
494,1043475,109,4111
495,6081083,110,4111
496,3012135,109,4111
497,6001182,110,4125
498,4012066,113,4110
499,7012006,113,4110
500,1042305,102,4125
501,1022261,102,4125
502,7012038,113,4110
503,1042050,113,4110
504,2007199,113,4110
505,1044014,102,5219
506,1042230,109,4111
507,6037286,113,4110
508,1015347,102,4125
509,1016341,102,4125
510,6034058,110,4111
511,1044147,104,5254
513,1046007,113,4110
514,1031289,110,4111
515,6045258,106,4115
516,7008152,102,4125
517,6008141,110,4111
518,7012155,113,4110
520,1044466,113,4110
521,4022110,113,4110
522,6005107,110,4111
524,6005174,113,4110
525,1046451,102,4125
526,5007225,110,4111
527,1017001,102,4125
528,1046259,102,4125
529,2012127,104,5254
530,2007075,104,5254
531,2026057,109,4111
532,1017378,102,5219
534,6052167,107,4110
535,1033092,109,4111
536,4021088,113,4110
537,2017385,104,5254
538,6075142,110,4111
540,6004155,104,4112
541,6045289,110,4111
542,4024165,107,4110
543,2035169,104,5254
544,1045216,113,4110
545,1042070,102,5219
546,1042114,102,5219
547,4012086,113,4110
548,2023141,109,4111
550,2008091,104,4112
551,1015365,102,4125
552,1022037,113,4110
553,3012228,104,4125
554,3013213,106,4115
555,4025009,109,4111
556,1064156,104,4112
557,7008403,113,4110
559,1007012,113,4110
560,1015361,102,4125
561,4025122,109,4111
562,1031291,102,4117
563,5009184,102,5219
564,1046478,102,5219
565,2002283,109,4111
566,2029106,117,4110
567,1024069,117,4110
568,1046046,109,4111
569,1042158,109,4111
570,6044019,102,4109
571,7006091,109,4111
572,6002284,117,4110
573,1043244,102,4125
574,1032218,102,4125
575,2035030,106,4115
576,4025096,109,4111
577,2001038,104,4125
578,1001191,102,4125
579,2007052,109,4111
580,1044126,109,4111
581,7008379,102,4101
583,4006133,102,4125
584,6082019,110,4111
585,6036167,106,4115
586,1046351,102,4125
587,7001068,109,4111
588,1009200,116,4110
589,6038076,110,4111
590,1013027,102,4125
591,6036086,110,4111
592,2026166,116,4110
594,7015053,109,4111
595,6054053,102,4125
596,3014020,109,4111
600,1045282,109,4111
601,6034152,117,4110
602,6033059,110,4111
603,6031206,106,4115
604,5028401,102,4117
605,6034132,110,4111
606,1022289,102,4125
607,7002054,109,4111
608,2043042,109,4111
609,1041068,109,4111
610,5020084,109,4111
611,6052048,117,4110
612,1024201,109,4111
613,1022011,102,4125
614,7008045,109,4111
615,5007307,106,4115
616,2007054,109,4111
617,6003209,109,4111
618,1024222,109,4111
619,7013133,109,4111
620,1064026,117,4110
622,2035066,109,4111
623,2033170,117,4110
624,1045444,109,4111
625,6008140,107,4110
626,6001208,102,4125
627,1016126,102,4125
628,2016202,109,4111
630,1041078,117,4110
631,1021029,109,4111
632,1015197,102,4125
634,6003075,106,4115
636,1033319,109,4111
638,2031219,102,4125
639,6006047,102,4125
640,4011035,102,4117
641,1043198,102,4101
642,1022170,102,4125
644,6054269,117,4110
645,2003139,109,4203
646,5026027,109,4125
648,5016432,117,4110
650,1015371,102,4125
651,2002209,116,4110
652,1017279,102,4125
653,6081107,117,4110
