Rank,RollNo,Course
1986,1026041,D4117 
1987,6013252,W4116 
1989,1075182,K4109 
1990,6001248,H4111 
1991,1008290,W4125 
1993,2067156,D5210 
1995,2024054,K4109 
1997,1085061,D5210 
1998,5012194,K4203 
1999,5029208,G4109 
2000,6061036,M5227 
2001,6023076,M4107 
2002,2050227,D5210 
2004,6006020,M4117 
2005,2021119,K4107 
2006,1055211,V4113 
2007,2024273,D5210 
2009,4029033,W4116 
2010,7015283,R4109 
2011,2014009,U4110 
2012,2055073,B4128 
2014,7018275,D4117 
2016,4007489,K4109 
2017,6012270,W4116 
2019,7014237,W4124 
2020,2049212,U4110 
2021,4003279,K4109 
2022,1079134,V4111 
2023,6082173,M4107 
2024,5050130,G4107 
2025,7032007,U4110 
2026,2005190,K4107 
2028,6026115,W4116 
2128,1061116,V4111 
2129,2013228,V4125 
2130,3030018,W4125 
2131,7024193,V4113 
2132,2050087,V4113 
2133,4004173,V5305 
2134,1031155,D5210 
2135,1029065,B4128 
2136,5047173,G4109 
2137,6061364,D4117 
2138,5016045,K4109 
2139,4002315,G4109 
2140,1048070,U4110 
2141,1035041,M4107 
2142,1074080,D4117 
2143,4001364,K4109 
2144,2048192,R4109 
2145,6006167,G4133 
2146,1075227,W4116 
2148,5040124,G4107 
2149,1083119,W4116 
2150,7028008,V4113 
2153,1093167,M4107 
2157,6068202,M5227 
2158,7032163,V4113 
2159,2062337,K4109 
2160,5035330,G4109 
2161,6020043,M4107 
2162,6021083,W4124 
2163,1015365,M4109 
2164,6034183,M4107 
2165,2013209,K4203 
2165,4014471,K4109 
2167,2048074,K4109 
2168,3032274,W4124 
2169,2063255,V4113 
2170,1075110,K4109 
2172,6010185,V5305 
2173,2062251,M4107 
2174,3032264,G4107 
2176,1060189,W4125 
2285,6061142,M5227 
2286,6054033,M4107 
2287,2058103,K4109 
2288,1081049,B4128 
2289,2013013,K4109 
2291,4005339,B4128 
2293,1025011,B4128 
2294,1065040,K4101 
2295,2027161,V4111 
2296,6018112,M4109 
2297,7013128,B4128 
2298,5032210,G5506 
2299,4027429,V4111 
2300,1073116,K4109 
2301,5034160,H4111 
2302,6020234,W4125 
2303,6023106,H4111 
2304,1068061,R4109 
2305,1086241,K4109 
2306,2048201,V4113 
2307,1085228,K4109 
2308,6022269,W4125 
2311,6012082,M4107 
2314,6034230,W4124 
2315,2038058,G4107 
2316,4035322,V4111 
2317,1022045,V4125 
2319,5052229,M4107 
2320,2014119,V4111 
2321,1082128,K4109 
2322,5027177,G4122 
2326,5054081,G4107 
2327,3004141,W4125 
2328,6067072,G4107 
2329,7008260,M4101 
2330,4032202,G4107 
2331,7025134,V4111 
2332,1011162,M4107 
2333,1046247,M4101 
2334,1060247,W4124 
2336,1090100,M4107 
2337,6081234,H4111 
2339,6057070,G4107 
2446,2003077,D4139 
2447,2065070,R4109 
2448,5049211,G4107 
2449,7013133,K4109 
2450,2030159,B4128 
2451,6083226,M4101 
2452,1073170,W4125 
2453,1045249,K4101 
2454,6004210,H4111 
2455,2003228,V4111 
2456,1039397,G4120 
2457,4003034,V4111 
2458,6025096,H4111 
2459,2061059,K4109 
2460,2009035,R4109 
2461,1032036,B4128 
2462,1020055,U4110 
2463,6021128,K4101 
2464,7027094,K4109 
2465,1053067,W4125 
2467,7020244,R4109 
2468,6038242,H4111 
2471,4007380,U4110 
2472,4036163,G4109 
2473,5025041,K4109 
2474,1081112,B4128 
2475,4008343,W4125 
2476,3044070,G5506 
2477,4027281,G5210 
2478,7006063,V4111 
2479,6018108,M4109 
2480,2055113,W4125 
2481,1058266,B4128 
2484,5012181,U4110 
2486,2065066,K4109 
2487,4027342,W4125 
2487,6061077,M5227 
2489,4002243,K4109 
2490,4016200,V4125 
2491,7012071,G4109 
2492,4017167,V4111 
2493,3040045,V5223 
2494,7020030,K4109 
2597,1083100,N4111 
2598,7009127,R4109 
2599,1068110,G5506 
2600,1014008,N4111 
2600,1029124,M5210 
2602,2055131,K4101 
2603,2047002,V4125 
2604,5052236,G5210 
2605,4004336,G5506 
2606,6013005,H4125 
2607,1063160,R4109 
2608,2065137,R4109 
2609,6031091,M4109 
2610,4014038,G4109 
2612,6046180,G5210 
2613,6047011,G4122 
2614,1066014,R4109 
2616,1060228,G4109 
2617,2018083,G5506 
2618,2004228,K4101 
2619,1036056,B4128 
2620,1028181,V4125 
2621,2038117,G4109 
2622,2051192,G4101 
2623,4002065,M4109 
2623,2003164,G4109 
2625,7005035,V4125 
2626,6027059,M5210 
2627,1009013,M4109 
2628,6004178,V5223 
2629,5034320,B4128 
2630,2062145,R4107 
2631,2029098,G4109 
2632,6084138,M4127 
2633,1085093,G5215 
2635,1088250,G4101 
2636,4003096,G5506 
2637,4006248,R4109 
2638,5048161,G5506 
2640,4012423,C4110 
2641,6039167,D4125 
2643,7012256,R4109 
2644,5035064,G4101 
2645,2043058,G5506 
2756,5030029,V4125 
2757,7023127,B5245 
2758,3034118,K4123 
2759,6020157,M4109 
2760,6007116,G4120 
2761,7028324,E4110 
2762,6031046,N4111 
2764,1015114,V4125 
2765,3043012,V4125 
2766,3007166,G4101 
2767,5039125,B4128 
2769,1065187,V4125 
2771,7008137,G4109 
2772,6006141,H4118 
2773,5018285,G4109 
2774,6037092,G4101 
2775,4027023,V4125 
2776,1083013,G4109 
2778,2020152,W4107 
2780,4001219,V5223 
2781,1028100,B4128 
2783,6026023,M4127 
2784,6081266,M5227 
2785,7016311,D4139 
2786,4015038,G4101 
2788,1038273,G4122 
2790,1027071,B4128 
2791,2005154,D4139 
2792,6034059,G5210 
2792,3021022,G5201 
2794,1041122,G5210 
2796,5035340,M5201 
2797,7003101,R4107 
2798,6061302,M5227 
2799,7013096,R4109 
2800,1085201,R4109 
2801,6002040,N4111 
2802,6054012,J4110 
2803,1058092,V4125 
2804,3023020,V5233 
2908,2009045,C4110 
2909,4004139,B5244 
2911,1023123,G4122 
2912,1023054,B5245 
2913,5012224,S4110 
2914,1046220,K4204 
2915,1025238,B5244 
2916,1072212,R4107 
2916,7008101,G4122 
2918,1072138,R4109 
2919,2032193,V5233 
2919,1087276,R4109 
2921,4028186,J4110 
2922,1068131,R4109 
2923,2008052,R4109 
2924,6061011,M5602 
2927,5046144,R4109 
2929,5047025,R4109 
2930,6057153,M4127 
2932,1047060,M5201 
2933,3027171,R4109 
2934,5053106,K4204 
2935,1016295,B5244 
